FLIGHT_ID,AIRLINE,DEPARTURE_CITY,ARRIVAL_CITY,DEPARTURE_TIME,ARRIVAL_TIME,FLIGHT_DURATION,AIRCRAFT_TYPE,CAPACITY,SEATS_AVAILABLE,ECONOMY_PRICE,BUSINESS_PRICE,DAYS_OPERATING,OPERATING_PERIOD
FL001,UA,JFK,FCO,08:00,18:45,545,Boeing 777,420,45,650,1800,Mon-Fri,2025-01-01 to 2025-12-31
FL002,UA,FCO,JFK,20:30,07:15,560,Boeing 777,420,32,650,1800,Mon-Fri,2025-01-01 to 2025-12-31
FL003,BA,LHR,BCN,10:15,13:30,135,Boeing 737,180,78,150,450,Daily,2025-01-01 to 2025-12-31
FL004,BA,BCN,LHR,14:45,18:00,135,Boeing 737,180,92,150,450,Daily,2025-01-01 to 2025-12-31
FL005,LH,FRA,BUD,09:30,11:15,105,Airbus A320,195,56,120,380,Daily,2025-01-01 to 2025-12-31
FL006,LH,BUD,FRA,12:00,13:45,105,Airbus A320,195,68,120,380,Daily,2025-01-01 to 2025-12-31
FL007,AF,CDG,VIE,08:45,10:45,120,Airbus A321,220,45,140,420,Daily,2025-01-01 to 2025-12-31
FL008,AF,VIE,CDG,11:30,13:30,120,Airbus A321,220,78,140,420,Daily,2025-01-01 to 2025-12-31
FL009,KL,AMS,PRG,09:00,11:15,135,Boeing 737,180,52,130,390,Daily,2025-01-01 to 2025-12-31
FL010,KL,PRG,AMS,12:30,14:45,135,Boeing 737,180,88,130,390,Daily,2025-01-01 to 2025-12-31
FL011,UA,ORD,VIE,10:00,23:30,600,Boeing 787,242,28,720,1950,Tue-Sat,2025-01-01 to 2025-12-31
FL012,UA,VIE,ORD,01:15,08:45,570,Boeing 787,242,41,720,1950,Mon-Wed-Fri,2025-01-01 to 2025-12-31
FL013,BA,LHR,BUD,11:00,14:30,165,Airbus A320,195,71,180,520,Tue-Thu-Sat,2025-01-01 to 2025-12-31
FL014,BA,BUD,LHR,15:45,19:15,165,Airbus A320,195,84,180,520,Mon-Wed-Fri,2025-01-01 to 2025-12-31
FL015,LH,FRA,BCN,08:00,10:15,195,Boeing 737,180,45,160,480,Daily,2025-01-01 to 2025-12-31
FL016,LH,BCN,FRA,11:00,13:15,195,Boeing 737,180,62,160,480,Daily,2025-01-01 to 2025-12-31
FL017,AF,CDG,PRG,09:30,11:30,120,Airbus A319,144,38,125,375,Daily,2025-01-01 to 2025-12-31
FL018,AF,PRG,CDG,12:45,14:45,120,Airbus A319,144,71,125,375,Daily,2025-01-01 to 2025-12-31
FL019,KL,AMS,VIE,10:15,12:45,150,Airbus A320,195,52,150,450,Daily,2025-01-01 to 2025-12-31
FL020,KL,VIE,AMS,13:30,16:00,150,Airbus A320,195,85,150,450,Daily,2025-01-01 to 2025-12-31
FL021,UA,EWR,MXP,09:00,21:00,555,Boeing 767,216,34,680,1820,Mon-Fri,2025-01-01 to 2025-12-31
FL022,UA,MXP,EWR,22:30,08:30,570,Boeing 767,216,48,680,1820,Tue-Fri-Sun,2025-01-01 to 2025-12-31
FL023,BA,LHR,CDG,07:30,09:45,95,Airbus A319,144,61,100,310,Daily,2025-01-01 to 2025-12-31
FL024,BA,CDG,LHR,10:30,12:45,95,Airbus A319,144,75,100,310,Daily,2025-01-01 to 2025-12-31
FL025,LH,MUC,VIE,08:30,10:00,90,Airbus A320,195,58,110,340,Daily,2025-01-01 to 2025-12-31
FL026,LH,VIE,MUC,10:45,12:15,90,Airbus A320,195,74,110,340,Daily,2025-01-01 to 2025-12-31
FL027,AF,CDG,BUD,10:00,12:45,165,Airbus A321,220,39,170,510,Tue-Thu-Sat,2025-01-01 to 2025-12-31
FL028,AF,BUD,CDG,13:30,16:15,165,Airbus A321,220,82,170,510,Mon-Wed-Fri,2025-01-01 to 2025-12-31
FL029,KL,AMS,BCN,11:00,14:00,180,Boeing 737,180,47,155,465,Daily,2025-01-01 to 2025-12-31
FL030,KL,BCN,AMS,14:45,17:45,180,Boeing 737,180,79,155,465,Daily,2025-01-01 to 2025-12-31
FL031,UA,JFK,MXP,08:30,19:30,550,Boeing 777,420,29,700,1850,Mon-Wed-Fri,2025-01-01 to 2025-12-31
FL032,UA,MXP,JFK,21:00,08:00,570,Boeing 777,420,44,700,1850,Tue-Thu-Sat,2025-01-01 to 2025-12-31
FL033,BA,LHR,VIE,09:00,12:30,165,Boeing 737,180,54,190,570,Tue-Thu-Sat,2025-01-01 to 2025-12-31
FL034,BA,VIE,LHR,13:45,17:15,165,Boeing 737,180,67,190,570,Mon-Wed-Fri,2025-01-01 to 2025-12-31
FL035,LH,FRA,PRG,09:00,10:45,105,Airbus A319,144,42,115,345,Daily,2025-01-01 to 2025-12-31
FL036,LH,PRG,FRA,11:30,13:15,105,Airbus A319,144,69,115,345,Daily,2025-01-01 to 2025-12-31
FL037,AF,CDG,AMS,08:30,10:30,120,Airbus A320,195,48,130,390,Daily,2025-01-01 to 2025-12-31
FL038,AF,AMS,CDG,11:15,13:15,120,Airbus A320,195,76,130,390,Daily,2025-01-01 to 2025-12-31
FL039,KL,AMS,FRA,09:45,11:30,105,Airbus A320,195,51,120,360,Daily,2025-01-01 to 2025-12-31
FL040,KL,FRA,AMS,12:15,14:00,105,Airbus A320,195,81,120,360,Daily,2025-01-01 to 2025-12-31
FL045,UA,FCO,BCN,06:00,08:30,150,Boeing 737,180,22,280,840,Sat-Sun,2025-01-01 to 2025-12-31
FL050,BA,LHR,BUD,12:00,15:30,210,Boeing 787,242,35,250,750,Wed-Sat,2025-01-01 to 2025-12-31
