ROUTE_ID,DEPARTURE_CITY,ARRIVAL_CITY,DISTANCE_KM,FREQUENCY_PER_WEEK,AVERAGE_FLIGHT_TIME,ROUTE_TYPE
R001,JFK,FCO,6895,14,545,International
R002,JFK,MXP,6360,14,550,International
R003,JFK,BCN,5829,7,595,International
R004,EWR,FCO,6883,7,560,International
R005,EWR,MXP,6370,7,570,International
R006,ORD,VIE,8046,7,600,International
R007,LHR,BCN,1464,42,135,International
R008,LHR,CDG,345,126,95,Schengen
R009,LHR,BUD,1640,21,165,International
R010,LHR,VIE,1640,14,165,International
R011,LHR,PRG,1380,21,165,International
R012,LHR,MXP,1480,14,150,International
R013,CDG,BCN,850,42,195,Schengen
R014,CDG,BUD,1740,14,165,International
R015,CDG,VIE,1470,21,120,International
R016,CDG,PRG,925,42,120,Schengen
R017,CDG,MXP,630,42,120,Schengen
R018,CDG,AMS,410,42,120,Schengen
R019,FRA,BCN,1470,28,195,Schengen
R020,FRA,BUD,1340,21,105,Schengen
R021,FRA,VIE,1080,42,120,Schengen
R022,FRA,PRG,880,42,105,Schengen
R023,FRA,MXP,550,42,120,Schengen
R024,FRA,AMS,520,42,105,Schengen
R025,MUC,VIE,500,42,90,Schengen
R026,MUC,BUD,740,21,105,Schengen
R027,MUC,PRG,550,42,90,Schengen
R028,MUC,BCN,1830,21,210,Schengen
R029,AMS,BCN,1805,28,180,Schengen
R030,AMS,VIE,1340,28,150,Schengen
R031,AMS,BUD,1565,14,165,International
R032,AMS,PRG,1050,21,150,Schengen
R033,AMS,FRA,520,42,105,Schengen
R034,AMS,CDG,410,42,120,Schengen
R035,AMS,MXP,1200,14,150,Schengen
