PERIOD_DATE,YEAR,MONTH,DAY,QUARTER,SEASON,IS_HIGH_SEASON
2024-01-01,2024,1,1,1,Winter,N
2024-01-02,2024,1,2,1,Winter,N
2024-01-03,2024,1,3,1,Winter,N
2024-01-04,2024,1,4,1,Winter,N
2024-01-05,2024,1,5,1,Winter,N
2024-01-06,2024,1,6,1,Winter,N
2024-01-07,2024,1,7,1,Winter,N
2024-01-08,2024,1,8,1,Winter,N
2024-01-09,2024,1,9,1,Winter,N
2024-01-10,2024,1,10,1,Winter,N
2024-01-11,2024,1,11,1,Winter,N
2024-01-12,2024,1,12,1,Winter,N
2024-01-13,2024,1,13,1,Winter,N
2024-01-14,2024,1,14,1,Winter,N
2024-01-15,2024,1,15,1,Winter,N
2024-01-16,2024,1,16,1,Winter,N
2024-01-17,2024,1,17,1,Winter,N
2024-01-18,2024,1,18,1,Winter,N
2024-01-19,2024,1,19,1,Winter,N
2024-01-20,2024,1,20,1,Winter,N
2024-01-21,2024,1,21,1,Winter,N
2024-01-22,2024,1,22,1,Winter,N
2024-01-23,2024,1,23,1,Winter,N
2024-01-24,2024,1,24,1,Winter,N
2024-01-25,2024,1,25,1,Winter,N
2024-01-26,2024,1,26,1,Winter,N
2024-01-27,2024,1,27,1,Winter,N
2024-01-28,2024,1,28,1,Winter,N
2024-01-29,2024,1,29,1,Winter,N
2024-01-30,2024,1,30,1,Winter,N
2024-01-31,2024,1,31,1,Winter,N
2024-02-01,2024,2,1,1,Winter,N
2024-02-02,2024,2,2,1,Winter,N
2024-02-03,2024,2,3,1,Winter,N
2024-02-04,2024,2,4,1,Winter,N
2024-02-05,2024,2,5,1,Winter,N
2024-02-06,2024,2,6,1,Winter,N
2024-02-07,2024,2,7,1,Winter,N
2024-02-08,2024,2,8,1,Winter,N
2024-02-09,2024,2,9,1,Winter,N
2024-02-10,2024,2,10,1,Winter,N
2024-02-11,2024,2,11,1,Winter,N
2024-02-12,2024,2,12,1,Winter,N
2024-02-13,2024,2,13,1,Winter,N
2024-02-14,2024,2,14,1,Winter,N
2024-02-15,2024,2,15,1,Winter,N
2024-02-16,2024,2,16,1,Winter,N
2024-02-17,2024,2,17,1,Winter,N
2024-02-18,2024,2,18,1,Winter,N
2024-02-19,2024,2,19,1,Winter,N
2024-02-20,2024,2,20,1,Winter,N
2024-02-21,2024,2,21,1,Winter,N
2024-02-22,2024,2,22,1,Winter,N
2024-02-23,2024,2,23,1,Winter,N
2024-02-24,2024,2,24,1,Winter,N
2024-02-25,2024,2,25,1,Winter,N
2024-02-26,2024,2,26,1,Winter,N
2024-02-27,2024,2,27,1,Winter,N
2024-02-28,2024,2,28,1,Winter,N
2024-02-29,2024,2,29,1,Winter,N
2024-03-01,2024,3,1,1,Winter,N
2024-03-02,2024,3,2,1,Winter,N
2024-03-03,2024,3,3,1,Winter,N
2024-03-04,2024,3,4,1,Winter,N
2024-03-05,2024,3,5,1,Winter,N
2024-03-06,2024,3,6,1,Winter,N
2024-03-07,2024,3,7,1,Winter,N
2024-03-08,2024,3,8,1,Winter,N
2024-03-09,2024,3,9,1,Winter,N
2024-03-10,2024,3,10,1,Winter,N
2024-03-11,2024,3,11,1,Winter,N
2024-03-12,2024,3,12,1,Winter,N
2024-03-13,2024,3,13,1,Winter,N
2024-03-14,2024,3,14,1,Winter,N
2024-03-15,2024,3,15,1,Winter,N
2024-03-16,2024,3,16,1,Winter,N
2024-03-17,2024,3,17,1,Winter,N
2024-03-18,2024,3,18,1,Winter,N
2024-03-19,2024,3,19,1,Winter,N
2024-03-20,2024,3,20,1,Winter,N
2024-03-21,2024,3,21,1,Winter,N
2024-03-22,2024,3,22,1,Winter,N
2024-03-23,2024,3,23,1,Winter,N
2024-03-24,2024,3,24,1,Winter,N
2024-03-25,2024,3,25,1,Winter,N
2024-03-26,2024,3,26,1,Winter,N
2024-03-27,2024,3,27,1,Winter,N
2024-03-28,2024,3,28,1,Winter,N
2024-03-29,2024,3,29,1,Winter,N
2024-03-30,2024,3,30,1,Winter,N
2024-03-31,2024,3,31,1,Winter,N
2024-04-01,2024,4,1,2,Shoulder,N
2024-04-02,2024,4,2,2,Shoulder,N
2024-04-03,2024,4,3,2,Shoulder,N
2024-04-04,2024,4,4,2,Shoulder,N
2024-04-05,2024,4,5,2,Shoulder,N
2024-04-06,2024,4,6,2,Shoulder,N
2024-04-07,2024,4,7,2,Shoulder,N
2024-04-08,2024,4,8,2,Shoulder,N
2024-04-09,2024,4,9,2,Shoulder,N
2024-04-10,2024,4,10,2,Shoulder,N
2024-04-11,2024,4,11,2,Shoulder,N
2024-04-12,2024,4,12,2,Shoulder,N
2024-04-13,2024,4,13,2,Shoulder,N
2024-04-14,2024,4,14,2,Shoulder,N
2024-04-15,2024,4,15,2,Shoulder,N
2024-04-16,2024,4,16,2,Shoulder,N
2024-04-17,2024,4,17,2,Shoulder,N
2024-04-18,2024,4,18,2,Shoulder,N
2024-04-19,2024,4,19,2,Shoulder,N
2024-04-20,2024,4,20,2,Shoulder,N
2024-04-21,2024,4,21,2,Shoulder,N
2024-04-22,2024,4,22,2,Shoulder,N
2024-04-23,2024,4,23,2,Shoulder,N
2024-04-24,2024,4,24,2,Shoulder,N
2024-04-25,2024,4,25,2,Shoulder,N
2024-04-26,2024,4,26,2,Shoulder,N
2024-04-27,2024,4,27,2,Shoulder,N
2024-04-28,2024,4,28,2,Shoulder,N
2024-04-29,2024,4,29,2,Shoulder,N
2024-04-30,2024,4,30,2,Shoulder,N
2024-05-01,2024,5,1,2,Shoulder,N
2024-05-02,2024,5,2,2,Shoulder,N
2024-05-03,2024,5,3,2,Shoulder,N
2024-05-04,2024,5,4,2,Shoulder,N
2024-05-05,2024,5,5,2,Shoulder,N
2024-05-06,2024,5,6,2,Shoulder,N
2024-05-07,2024,5,7,2,Shoulder,N
2024-05-08,2024,5,8,2,Shoulder,N
2024-05-09,2024,5,9,2,Shoulder,N
2024-05-10,2024,5,10,2,Shoulder,N
2024-05-11,2024,5,11,2,Shoulder,N
2024-05-12,2024,5,12,2,Shoulder,N
2024-05-13,2024,5,13,2,Shoulder,N
2024-05-14,2024,5,14,2,Shoulder,N
